,Date,Symbol_spot,Open_spot,High_spot,Low_spot,Close_spot,Volume_spot,Symbol_fut,Open_fut,High_fut,Low_fut,Close_fut,Volume_fut,Diff
0,2022-08-24 17:00:00,^BTCUSD,21589.38,21647.66,21477.01,21493.72,1562,BTF23,21750.0,21750.0,21750.0,21750.0,1.0,-256.27999999999884
1,2022-08-26 13:00:00,^BTCUSD,20651.04,20722.6,20555.15,20694.53,1322,BTF23,20595.0,20595.0,20595.0,20595.0,2.0,99.52999999999884
2,2022-08-29 05:00:00,^BTCUSD,19842.65,19860.73,19810.63,19831.52,1868,BTF23,19800.0,19800.0,19800.0,19800.0,1.0,31.520000000000437
3,2022-08-30 09:00:00,^BTCUSD,20275.45,20295.77,19757.21,19809.62,1306,BTF23,19800.0,19800.0,19800.0,19800.0,2.0,9.619999999998981
4,2022-10-05 03:00:00,^BTCUSD,20228.66,20238.39,20036.95,20139.13,660,BTF23,20175.0,20175.0,20175.0,20175.0,1.0,-35.86999999999898
5,2022-10-05 08:00:00,^BTCUSD,20026.83,20035.45,19829.6,19918.72,718,BTF23,20020.0,20020.0,20020.0,20020.0,1.0,-101.27999999999884
6,2022-10-05 11:00:00,^BTCUSD,20000.65,20291.33,19962.03,20240.55,804,BTF23,20290.0,20340.0,20290.0,20340.0,2.0,-99.45000000000073
7,2022-10-05 12:00:00,^BTCUSD,20239.74,20304.62,20167.51,20171.04,813,BTF23,20245.0,20295.0,20245.0,20295.0,3.0,-123.95999999999913
8,2022-10-06 07:00:00,^BTCUSD,20250.36,20309.94,20184.7,20185.84,977,BTF23,20195.0,20195.0,20195.0,20195.0,1.0,-9.159999999999854
9,2022-10-06 09:00:00,^BTCUSD,20114.72,20114.72,19891.55,20106.19,939,BTF23,19965.0,20005.0,19965.0,19980.0,3.0,126.18999999999869
10,2022-10-06 13:00:00,^BTCUSD,20119.51,20119.51,20000.19,20019.21,796,BTF23,20140.0,20140.0,20140.0,20140.0,1.0,-120.79000000000087
11,2022-10-07 07:00:00,^BTCUSD,20001.85,20039.99,19566.17,19627.96,932,BTF23,19765.0,19765.0,19765.0,19765.0,1.0,-137.04000000000087
12,2022-10-10 01:00:00,^BTCUSD,19412.98,19436.05,19378.8,19393.82,989,BTF23,19385.0,19385.0,19385.0,19385.0,1.0,8.819999999999709
13,2022-10-10 04:00:00,^BTCUSD,19234.02,19339.73,19232.57,19331.16,952,BTF23,19265.0,19265.0,19265.0,19265.0,1.0,66.15999999999985
14,2022-10-10 10:00:00,^BTCUSD,19255.95,19310.14,19228.26,19272.65,963,BTF23,19210.0,19210.0,19210.0,19210.0,1.0,62.650000000001455
15,2022-10-10 12:00:00,^BTCUSD,19143.82,19348.77,19128.38,19321.93,956,BTF23,19100.0,19100.0,19100.0,19100.0,1.0,221.9300000000003
16,2022-10-10 19:00:00,^BTCUSD,19132.47,19132.47,18975.3,19037.44,996,BTF23,19020.0,19020.0,19020.0,19020.0,1.0,17.43999999999869
17,2022-10-11 08:00:00,^BTCUSD,19144.35,19158.23,19015.07,19015.08,965,BTF23,19025.0,19025.0,19025.0,19025.0,1.0,-9.919999999998254
18,2022-10-11 09:00:00,^BTCUSD,19015.08,19088.69,18892.83,19044.18,978,BTF23,18885.0,18885.0,18850.0,18850.0,2.0,194.1800000000003
19,2022-10-11 13:00:00,^BTCUSD,19129.83,19130.68,18949.16,18971.68,766,BTF23,18960.0,18960.0,18930.0,18930.0,2.0,41.68000000000029
20,2022-10-11 14:00:00,^BTCUSD,18971.7,19030.18,18930.41,18996.35,787,BTF23,18940.0,18970.0,18915.0,18970.0,3.0,26.349999999998545
