,Date,Symbol_spot,Open_spot,High_spot,Low_spot,Close_spot,Volume_spot,Symbol_fut,Open_fut,High_fut,Low_fut,Close_fut,Volume_fut,Diff
0,2023-05-03 12:00:00,^BTCUSD,28485.42,28752.9,28428.99,28561.22,893,BTV23,29270.0,29270.0,29270.0,29270.0,1.0,-708.7799999999988
1,2023-05-09 11:00:00,^BTCUSD,27414.48,27664.04,27374.75,27657.85,1137,BTV23,28240.0,28240.0,28240.0,28240.0,1.0,-582.1500000000015
2,2023-05-16 12:00:00,^BTCUSD,27063.44,27094.25,26967.15,27093.35,1097,BTV23,27775.0,27775.0,27775.0,27775.0,1.0,-681.6500000000015
3,2023-05-22 03:00:00,^BTCUSD,26849.86,26896.23,26835.03,26835.03,913,BTV23,27560.0,27560.0,27560.0,27560.0,1.0,-724.9700000000012
4,2023-05-24 08:00:00,^BTCUSD,26695.6,26702.62,26334.96,26441.53,918,BTV23,27140.0,27140.0,27140.0,27140.0,1.0,-698.4700000000012
5,2023-06-05 11:00:00,^BTCUSD,26102.45,26102.45,25703.7,25802.41,1049,BTV23,26375.0,26375.0,26375.0,26375.0,1.0,-572.5900000000001
6,2023-06-23 13:00:00,^BTCUSD,31269.96,31272.94,30920.6,30965.4,2713,BTV23,32000.0,32000.0,32000.0,32000.0,1.0,-1034.5999999999985
7,2023-06-27 14:00:00,^BTCUSD,30698.21,30744.31,30666.04,30678.81,2817,BTV23,31650.0,31650.0,31650.0,31650.0,1.0,-971.1899999999987
8,2023-06-29 14:00:00,^BTCUSD,30564.9,30601.8,30494.29,30600.72,2892,BTV23,31705.0,31705.0,31680.0,31680.0,2.0,-1079.2799999999988
9,2023-06-30 08:00:00,^BTCUSD,31005.2,31084.31,29799.68,30144.96,2754,BTV23,32010.0,32010.0,32010.0,32010.0,1.0,-1865.0400000000009
10,2023-07-06 19:00:00,^BTCUSD,29925.3,30108.74,29802.57,30068.52,2805,BTV23,30790.0,30900.0,30790.0,30900.0,2.0,-831.4799999999996
11,2023-07-20 20:00:00,^BTCUSD,29804.55,29896.9,29769.35,29887.32,2618,BTV23,30675.0,30675.0,30675.0,30675.0,1.0,-787.6800000000003
12,2023-07-21 14:00:00,^BTCUSD,29984.38,29995.61,29798.14,29898.57,2461,BTV23,30820.0,30820.0,30820.0,30820.0,1.0,-921.4300000000003
13,2023-07-23 17:00:00,^BTCUSD,29969.59,30058.09,29947.06,30038.57,2725,BTV23,31005.0,31005.0,31005.0,31005.0,1.0,-966.4300000000003
14,2023-07-25 14:00:00,^BTCUSD,29273.95,29290.58,29201.05,29216.06,3071,BTV23,30180.0,30180.0,30170.0,30170.0,2.0,-953.9399999999987
15,2023-07-27 10:00:00,^BTCUSD,29365.07,29366.43,29249.92,29304.53,2999,BTV23,30090.0,30090.0,30000.0,30000.0,5.0,-695.4700000000012
16,2023-07-27 11:00:00,^BTCUSD,29295.31,29332.39,29265.35,29281.97,2890,BTV23,29990.0,30000.0,29960.0,29975.0,9.0,-693.0299999999988
17,2023-07-27 14:00:00,^BTCUSD,29164.45,29192.79,29102.99,29175.01,3032,BTV23,29820.0,29880.0,29780.0,29840.0,39.0,-664.9900000000016
18,2023-07-28 05:00:00,^BTCUSD,29212.22,29227.06,29194.84,29216.85,2846,BTV23,29915.0,29915.0,29915.0,29915.0,1.0,-698.1500000000015
19,2023-07-28 06:00:00,^BTCUSD,29216.92,29231.25,29184.75,29206.62,2897,BTV23,29925.0,29925.0,29910.0,29910.0,4.0,-703.380000000001
20,2023-07-28 08:00:00,^BTCUSD,29312.74,29327.28,29253.59,29299.49,2920,BTV23,30015.0,30025.0,30015.0,30025.0,6.0,-725.5099999999984
21,2023-07-28 09:00:00,^BTCUSD,29299.49,29491.61,29286.4,29478.62,2956,BTV23,30040.0,30255.0,30040.0,30255.0,18.0,-776.380000000001
22,2023-07-28 10:00:00,^BTCUSD,29478.62,29527.63,29364.08,29394.95,2883,BTV23,30280.0,30290.0,30170.0,30170.0,6.0,-775.0499999999993
