,Date,Symbol_spot,Open_spot,High_spot,Low_spot,Close_spot,Volume_spot,Symbol_fut,Open_fut,High_fut,Low_fut,Close_fut,Volume_fut,Diff
0,2021-12-03 14:00:00,^BTCUSD,53875.86,53994.09,52588.26,53500.74,1101,BTK22,53670.0,53670.0,53670.0,53670.0,1.0,-169.26000000000204
1,2021-12-07 10:00:00,^BTCUSD,51769.17,51904.07,51189.45,51389.28,1143,BTK22,52600.0,52600.0,52600.0,52600.0,1.0,-1210.7200000000012
2,2021-12-07 11:00:00,^BTCUSD,51389.3,51396.35,50957.07,51057.68,1137,BTK22,52700.0,52700.0,52700.0,52700.0,1.0,-1642.3199999999997
3,2021-12-13 13:00:00,^BTCUSD,47441.69,47441.69,45904.3,46773.07,1035,BTK22,48200.0,48200.0,48200.0,48200.0,1.0,-1426.9300000000003
4,2021-12-26 21:00:00,^BTCUSD,50859.41,51143.5,50834.3,51028.82,1195,BTK22,52185.0,52185.0,52185.0,52185.0,1.0,-1156.1800000000003
5,2021-12-29 14:00:00,^BTCUSD,47105.68,47686.2,47104.74,47391.44,1025,BTK22,48660.0,48660.0,48660.0,48660.0,1.0,-1268.5599999999977
6,2021-12-30 10:00:00,^BTCUSD,47167.03,47631.43,47148.77,47598.65,1069,BTK22,48625.0,48625.0,48625.0,48625.0,1.0,-1026.3499999999985
7,2022-01-07 13:00:00,^BTCUSD,41672.45,41845.07,41528.2,41770.47,1278,BTK22,42425.0,42425.0,42425.0,42425.0,2.0,-654.5299999999988
8,2022-01-19 09:00:00,^BTCUSD,42488.09,42513.87,41860.29,42003.2,1207,BTK22,42405.0,42405.0,42405.0,42405.0,1.0,-401.8000000000029
9,2022-01-20 11:00:00,^BTCUSD,43299.04,43306.83,43021.84,43027.48,1114,BTK22,43490.0,43490.0,43490.0,43490.0,1.0,-462.5199999999968
10,2022-01-20 12:00:00,^BTCUSD,43027.48,43083.68,42891.03,43057.21,1103,BTK22,43210.0,43210.0,43210.0,43210.0,1.0,-152.79000000000087
11,2022-01-20 20:00:00,^BTCUSD,39772.29,40215.58,39384.7,39841.07,1110,BTK22,39805.0,40420.0,39730.0,40420.0,3.0,-578.9300000000003
12,2022-01-21 00:00:00,^BTCUSD,38918.69,38928.15,38580.16,38742.38,1074,BTK22,38955.0,38955.0,38955.0,38955.0,1.0,-212.62000000000262
13,2022-01-23 17:00:00,^BTCUSD,35522.62,36510.16,35475.14,36279.36,1045,BTK22,36015.0,36015.0,36015.0,36015.0,1.0,264.3600000000006
14,2022-01-24 08:00:00,^BTCUSD,33426.77,34057.8,33172.47,33678.68,990,BTK22,33410.0,33410.0,33410.0,33410.0,1.0,268.6800000000003
15,2022-01-24 09:00:00,^BTCUSD,33678.68,34324.98,33385.38,34236.81,993,BTK22,33830.0,33830.0,33830.0,33830.0,2.0,406.8099999999977
16,2022-01-24 12:00:00,^BTCUSD,35401.09,36367.68,35236.08,36178.24,1035,BTK22,36370.0,36370.0,36370.0,36370.0,1.0,-191.76000000000204
17,2022-01-25 17:00:00,^BTCUSD,36756.28,37047.52,36741.89,36961.1,1178,BTK22,37285.0,37285.0,37285.0,37285.0,2.0,-323.90000000000146
18,2022-01-25 21:00:00,^BTCUSD,36850.59,37495.71,36833.56,37408.98,1153,BTK22,37265.0,37265.0,37265.0,37265.0,1.0,143.9800000000032
19,2022-01-26 10:00:00,^BTCUSD,38008.64,38286.43,37960.58,38284.07,898,BTK22,38475.0,38475.0,38475.0,38475.0,1.0,-190.9300000000003
20,2022-01-26 14:00:00,^BTCUSD,37618.94,37618.94,36765.48,37092.89,969,BTK22,37465.0,37465.0,37465.0,37465.0,1.0,-372.1100000000006
21,2022-01-27 08:00:00,^BTCUSD,36847.44,37074.52,36780.2,36865.07,971,BTK22,37380.0,37380.0,37380.0,37380.0,1.0,-514.9300000000003
22,2022-01-27 17:00:00,^BTCUSD,36721.45,37216.11,36719.46,37120.55,1140,BTK22,37380.0,37570.0,37360.0,37570.0,7.0,-449.4499999999971
23,2022-01-27 19:00:00,^BTCUSD,37210.66,37212.29,36761.07,36904.77,1102,BTK22,37330.0,37330.0,37330.0,37330.0,1.0,-425.2300000000032
24,2022-01-28 10:00:00,^BTCUSD,37205.44,37354.7,37057.13,37130.95,1026,BTK22,37360.0,37360.0,37340.0,37360.0,4.0,-229.0500000000029
25,2022-02-01 10:00:00,^BTCUSD,38650.64,39241.04,38641.62,39218.59,1100,BTK22,39165.0,39165.0,39165.0,39165.0,1.0,53.58999999999651
26,2022-02-01 14:00:00,^BTCUSD,38403.07,38738.47,38400.53,38630.47,1072,BTK22,38935.0,38935.0,38935.0,38935.0,1.0,-304.52999999999884
27,2022-02-04 09:00:00,^BTCUSD,37953.36,39743.89,37930.68,39473.73,1059,BTK22,39960.0,39960.0,39960.0,39960.0,1.0,-486.2699999999968
28,2022-02-04 11:00:00,^BTCUSD,40357.5,40551.11,40227.86,40546.84,1066,BTK22,40690.0,40690.0,40690.0,40690.0,1.0,-143.1600000000035
29,2022-02-07 10:00:00,^BTCUSD,43877.98,43974.43,43557.91,43811.79,1043,BTK22,44020.0,44020.0,44020.0,44020.0,1.0,-208.20999999999913
30,2022-02-07 14:00:00,^BTCUSD,44282.62,44435.71,43851.71,44150.14,1080,BTK22,44305.0,44305.0,44215.0,44215.0,10.0,-64.86000000000058
31,2022-02-08 13:00:00,^BTCUSD,43009.55,43147.63,42756.63,43045.36,1074,BTK22,43315.0,43385.0,43315.0,43385.0,2.0,-339.6399999999994
32,2022-02-08 17:00:00,^BTCUSD,44118.64,44319.68,44062.99,44067.07,1134,BTK22,44600.0,44600.0,44600.0,44600.0,1.0,-532.9300000000003
33,2022-02-15 11:00:00,^BTCUSD,44140.97,44167.11,43877.2,43932.38,1056,BTK22,44375.0,44375.0,44375.0,44375.0,1.0,-442.6200000000026
34,2022-02-17 07:00:00,^BTCUSD,43232.25,43286.2,42212.54,42263.07,1229,BTK22,42720.0,42720.0,42720.0,42720.0,1.0,-456.9300000000003
35,2022-02-17 08:00:00,^BTCUSD,42263.07,42396.83,41908.5,41927.85,1091,BTK22,42495.0,42495.0,42495.0,42495.0,5.0,-567.1500000000015
36,2022-02-17 12:00:00,^BTCUSD,41745.82,41852.78,40888.72,41287.15,1051,BTK22,41180.0,41180.0,41180.0,41180.0,5.0,107.15000000000146
37,2022-02-18 09:00:00,^BTCUSD,40468.39,40688.25,39766.48,39806.96,1124,BTK22,40680.0,40680.0,40680.0,40680.0,1.0,-873.0400000000009
38,2022-02-21 07:00:00,^BTCUSD,37548.36,37707.36,37360.96,37566.27,967,BTK22,37740.0,37740.0,37740.0,37740.0,1.0,-173.7300000000032
39,2022-02-21 14:00:00,^BTCUSD,38158.89,38409.55,38010.19,38232.42,1230,BTK22,38480.0,38480.0,38480.0,38480.0,1.0,-247.58000000000175
40,2022-02-22 06:00:00,^BTCUSD,37546.2,37747.64,37369.75,37651.19,1113,BTK22,37900.0,37900.0,37900.0,37900.0,8.0,-248.80999999999767
41,2022-02-22 13:00:00,^BTCUSD,37724.27,38147.57,37664.74,38095.38,1145,BTK22,38140.0,38140.0,38140.0,38140.0,1.0,-44.62000000000262
42,2022-02-23 02:00:00,^BTCUSD,38152.32,38762.86,38119.77,38685.88,1124,BTK22,38520.0,39010.0,38520.0,39010.0,2.0,-324.1200000000026
43,2022-02-23 06:00:00,^BTCUSD,38817.71,39053.53,38781.07,39031.5,1228,BTK22,39175.0,39175.0,39175.0,39175.0,1.0,-143.5
44,2022-02-23 12:00:00,^BTCUSD,38076.98,38101.18,37743.49,37786.07,1146,BTK22,37960.0,37960.0,37960.0,37960.0,1.0,-173.9300000000003
45,2022-02-23 21:00:00,^BTCUSD,36125.82,36128.57,34956.58,35030.41,1034,BTK22,35480.0,35480.0,35480.0,35480.0,2.0,-449.5899999999965
46,2022-02-24 01:00:00,^BTCUSD,34901.52,35343.91,34508.3,35332.26,1038,BTK22,34880.0,34880.0,34880.0,34880.0,1.0,452.26000000000204
47,2022-02-24 08:00:00,^BTCUSD,35573.17,35776.34,35284.98,35670.82,1066,BTK22,35735.0,35735.0,35735.0,35735.0,1.0,-64.18000000000029
48,2022-02-24 09:00:00,^BTCUSD,35670.81,36058.3,35478.91,35940.99,1086,BTK22,36240.0,36240.0,36240.0,36240.0,1.0,-299.01000000000204
49,2022-02-24 10:00:00,^BTCUSD,35940.99,36316.32,35937.02,36195.69,1068,BTK22,36160.0,36465.0,36160.0,36465.0,3.0,-269.3099999999977
50,2022-02-24 11:00:00,^BTCUSD,36191.75,36193.93,35783.12,35878.05,1095,BTK22,36180.0,36185.0,36180.0,36185.0,2.0,-306.9499999999971
51,2022-02-24 14:00:00,^BTCUSD,37235.91,39143.41,37235.91,38328.31,1029,BTK22,39070.0,39070.0,38480.0,38480.0,6.0,-151.69000000000233
52,2022-02-25 07:00:00,^BTCUSD,39339.36,39667.67,39281.48,39357.37,1184,BTK22,39755.0,39755.0,39755.0,39755.0,1.0,-397.6299999999974
53,2022-02-25 09:00:00,^BTCUSD,39073.55,39536.08,38768.52,39514.86,1151,BTK22,39800.0,39800.0,39800.0,39800.0,2.0,-285.1399999999994
54,2022-02-25 11:00:00,^BTCUSD,39385.7,39405.1,38913.24,38997.49,1098,BTK22,39460.0,39460.0,39330.0,39330.0,4.0,-332.51000000000204
55,2022-02-25 12:00:00,^BTCUSD,38997.5,39044.01,38602.25,38652.46,1121,BTK22,38960.0,38975.0,38960.0,38975.0,2.0,-322.5400000000009
56,2022-02-25 13:00:00,^BTCUSD,38653.09,38964.91,38571.02,38694.71,1193,BTK22,39050.0,39050.0,39050.0,39050.0,1.0,-355.2900000000009
57,2022-02-25 14:00:00,^BTCUSD,38694.71,39211.32,38657.62,39128.06,1159,BTK22,38860.0,39335.0,38860.0,39335.0,15.0,-206.94000000000233
58,2022-02-27 17:00:00,^BTCUSD,37813.46,37826.79,37405.71,37711.69,1231,BTK22,37430.0,37430.0,37430.0,37430.0,2.0,281.6900000000023
59,2022-02-27 19:00:00,^BTCUSD,37574.92,38349.05,37574.92,38029.39,1120,BTK22,38405.0,38405.0,38380.0,38380.0,3.0,-350.6100000000006
60,2022-02-27 20:00:00,^BTCUSD,38025.55,38114.54,37617.24,37686.68,1229,BTK22,38095.0,38095.0,38095.0,38095.0,1.0,-408.3199999999997
61,2022-02-28 04:00:00,^BTCUSD,38245.08,38440.09,38187.92,38354.28,1169,BTK22,38535.0,38535.0,38535.0,38535.0,1.0,-180.72000000000116
62,2022-02-28 06:00:00,^BTCUSD,38355.84,38611.14,38227.17,38284.21,1139,BTK22,38395.0,38395.0,38395.0,38395.0,1.0,-110.79000000000087
63,2022-02-28 08:00:00,^BTCUSD,38041.62,39872.4,38014.29,39859.09,1142,BTK22,39625.0,39845.0,39625.0,39845.0,3.0,14.089999999996508
64,2022-02-28 09:00:00,^BTCUSD,39859.09,40830.03,39683.61,40827.49,1075,BTK22,40475.0,40975.0,40475.0,40975.0,5.0,-147.51000000000204
65,2022-02-28 11:00:00,^BTCUSD,41022.96,41263.5,40802.2,41245.05,1070,BTK22,41380.0,41380.0,41380.0,41380.0,1.0,-134.9499999999971
66,2022-02-28 12:00:00,^BTCUSD,41247.59,41441.07,41090.45,41211.86,1063,BTK22,41370.0,41425.0,41370.0,41425.0,2.0,-213.13999999999942
67,2022-02-28 13:00:00,^BTCUSD,41211.86,41379.38,41035.14,41359.89,1073,BTK22,41335.0,41335.0,41335.0,41335.0,1.0,24.889999999999418
68,2022-02-28 14:00:00,^BTCUSD,41358.11,41923.84,41301.8,41863.04,1065,BTK22,41580.0,41775.0,41580.0,41775.0,2.0,88.04000000000087
69,2022-02-28 17:00:00,^BTCUSD,43210.61,43316.23,42896.36,43201.54,1163,BTK22,43325.0,43325.0,43325.0,43325.0,1.0,-123.45999999999913
70,2022-02-28 18:00:00,^BTCUSD,43198.15,43593.12,43191.4,43573.39,1169,BTK22,43745.0,43765.0,43665.0,43665.0,3.0,-91.61000000000058
71,2022-02-28 19:00:00,^BTCUSD,43573.39,43614.23,43267.12,43279.43,1232,BTK22,43745.0,43745.0,43545.0,43665.0,4.0,-385.5699999999997
72,2022-02-28 20:00:00,^BTCUSD,43275.56,43307.46,43027.12,43172.59,1183,BTK22,43280.0,43415.0,43265.0,43400.0,5.0,-227.4100000000035
73,2022-02-28 21:00:00,^BTCUSD,43172.49,43177.04,42898.32,43168.18,1240,BTK22,43415.0,43415.0,43415.0,43415.0,1.0,-246.8199999999997
74,2022-02-28 22:00:00,^BTCUSD,43168.16,43397.31,43096.17,43358.7,1239,BTK22,43535.0,43610.0,43535.0,43610.0,2.0,-251.3000000000029
75,2022-02-28 23:00:00,^BTCUSD,43360.25,43389.61,43166.8,43219.47,1246,BTK22,43500.0,43500.0,43500.0,43500.0,1.0,-280.52999999999884
76,2022-03-01 00:00:00,^BTCUSD,43217.48,43490.79,43087.39,43452.96,1096,BTK22,43320.0,43650.0,43320.0,43650.0,4.0,-197.04000000000087
77,2022-03-01 01:00:00,^BTCUSD,43452.96,43551.25,43311.88,43499.62,1070,BTK22,43750.0,43750.0,43750.0,43750.0,1.0,-250.37999999999738
78,2022-03-01 02:00:00,^BTCUSD,43503.04,43603.79,43362.85,43540.56,1100,BTK22,43830.0,43830.0,43755.0,43755.0,2.0,-214.44000000000233
79,2022-03-01 04:00:00,^BTCUSD,43260.17,43578.43,42942.08,43567.66,1051,BTK22,43310.0,43800.0,43310.0,43800.0,5.0,-232.3399999999965
80,2022-03-01 05:00:00,^BTCUSD,43593.43,43723.18,43433.91,43626.18,1027,BTK22,43850.0,43905.0,43655.0,43680.0,7.0,-53.81999999999971
81,2022-03-01 06:00:00,^BTCUSD,43626.72,44678.41,43611.31,44654.75,1068,BTK22,44280.0,44680.0,44235.0,44460.0,4.0,194.75
82,2022-03-01 07:00:00,^BTCUSD,44664.0,44875.68,44499.64,44508.73,1019,BTK22,45215.0,45215.0,44815.0,44930.0,8.0,-421.2699999999968
83,2022-03-01 08:00:00,^BTCUSD,44508.73,44663.44,43883.03,43925.38,1097,BTK22,44690.0,44810.0,44155.0,44155.0,5.0,-229.62000000000262
84,2022-03-01 09:00:00,^BTCUSD,43925.34,44057.73,43412.59,43678.25,1111,BTK22,44175.0,44305.0,44035.0,44035.0,3.0,-356.75
85,2022-03-01 10:00:00,^BTCUSD,43679.2,43935.95,43269.43,43376.64,1165,BTK22,44240.0,44240.0,43610.0,43610.0,2.0,-233.36000000000058
86,2022-03-01 14:00:00,^BTCUSD,43745.16,44103.93,43734.67,44103.93,1265,BTK22,44165.0,44165.0,44165.0,44165.0,1.0,-61.06999999999971
87,2022-03-01 15:00:00,^BTCUSD,44103.98,44229.73,43786.92,43864.34,1220,BTK22,44130.0,44130.0,44130.0,44130.0,1.0,-265.6600000000035
88,2022-03-01 20:00:00,^BTCUSD,44045.79,44269.77,43902.98,44229.37,1211,BTK22,44355.0,44355.0,44355.0,44355.0,1.0,-125.62999999999738
89,2022-03-01 21:00:00,^BTCUSD,44229.33,44522.23,44101.66,44347.68,1128,BTK22,44730.0,44780.0,44730.0,44780.0,2.0,-432.3199999999997
90,2022-03-01 22:00:00,^BTCUSD,44350.64,44534.83,44247.95,44265.78,1140,BTK22,44720.0,44720.0,44720.0,44720.0,4.0,-454.22000000000116
91,2022-03-02 01:00:00,^BTCUSD,43969.17,43982.2,43706.2,43964.99,1038,BTK22,44115.0,44115.0,44115.0,44115.0,1.0,-150.01000000000204
92,2022-03-02 09:00:00,^BTCUSD,44775.38,45157.61,43971.77,44137.89,1068,BTK22,45505.0,45505.0,44330.0,44520.0,7.0,-382.1100000000006
93,2022-03-02 10:00:00,^BTCUSD,44139.98,44462.43,44032.03,44264.21,1104,BTK22,44305.0,44305.0,44305.0,44305.0,1.0,-40.79000000000087
94,2022-03-02 11:00:00,^BTCUSD,44261.47,44398.68,43775.42,43805.51,1077,BTK22,44700.0,44700.0,44700.0,44700.0,1.0,-894.489999999998
95,2022-03-02 12:00:00,^BTCUSD,43802.1,43944.43,43591.83,43607.74,1081,BTK22,44095.0,44095.0,43870.0,43925.0,5.0,-317.26000000000204
96,2022-03-02 13:00:00,^BTCUSD,43608.09,43801.92,43471.52,43725.62,1201,BTK22,43945.0,43945.0,43775.0,43775.0,2.0,-49.37999999999738
97,2022-03-02 14:00:00,^BTCUSD,43728.67,43857.37,43713.34,43830.16,1172,BTK22,44105.0,44105.0,44105.0,44105.0,1.0,-274.8399999999965
98,2022-03-02 15:00:00,^BTCUSD,43824.7,43957.28,43767.23,43956.64,1211,BTK22,44045.0,44120.0,44045.0,44120.0,3.0,-163.36000000000058
99,2022-03-02 19:00:00,^BTCUSD,43997.51,44026.21,43735.14,43843.15,1234,BTK22,44210.0,44210.0,44065.0,44110.0,6.0,-266.84999999999854
100,2022-03-02 20:00:00,^BTCUSD,43841.07,43844.96,43629.08,43824.03,1376,BTK22,44145.0,44160.0,44050.0,44050.0,5.0,-225.97000000000116
101,2022-03-02 21:00:00,^BTCUSD,43824.04,43861.18,43288.92,43354.22,1279,BTK22,44110.0,44115.0,43575.0,43685.0,15.0,-330.77999999999884
102,2022-03-02 22:00:00,^BTCUSD,43354.25,43486.67,43274.64,43453.09,1302,BTK22,43645.0,43805.0,43645.0,43805.0,3.0,-351.9100000000035
103,2022-03-02 23:00:00,^BTCUSD,43453.09,43499.83,43324.71,43384.17,1438,BTK22,43785.0,43785.0,43660.0,43660.0,2.0,-275.83000000000175
104,2022-03-03 00:00:00,^BTCUSD,43384.17,43465.98,43021.82,43465.98,1318,BTK22,43485.0,43485.0,43375.0,43480.0,5.0,-14.019999999996799
105,2022-03-03 02:00:00,^BTCUSD,43463.3,43622.32,43341.42,43454.88,1191,BTK22,43900.0,43900.0,43855.0,43855.0,2.0,-400.1200000000026
106,2022-03-03 03:00:00,^BTCUSD,43455.91,43466.29,43150.76,43174.61,1205,BTK22,43680.0,43680.0,43515.0,43515.0,8.0,-340.3899999999994
107,2022-03-03 04:00:00,^BTCUSD,43171.95,43445.3,43100.79,43361.04,1236,BTK22,43585.0,43825.0,43510.0,43775.0,10.0,-413.9599999999991
108,2022-03-03 05:00:00,^BTCUSD,43361.77,43571.71,43314.24,43407.98,1218,BTK22,43820.0,43900.0,43820.0,43900.0,2.0,-492.0199999999968
109,2022-03-03 06:00:00,^BTCUSD,43407.98,43738.79,43358.57,43585.55,1265,BTK22,43950.0,43950.0,43880.0,43880.0,4.0,-294.4499999999971
110,2022-03-03 07:00:00,^BTCUSD,43586.17,43971.52,43537.85,43971.52,1225,BTK22,43905.0,44395.0,43905.0,44395.0,9.0,-423.4800000000032
111,2022-03-03 08:00:00,^BTCUSD,43972.83,44072.56,43390.39,43434.01,1144,BTK22,44480.0,44480.0,43785.0,43795.0,20.0,-360.98999999999796
112,2022-03-03 09:00:00,^BTCUSD,43435.07,43496.38,42451.5,42552.19,1105,BTK22,43855.0,43855.0,42990.0,42990.0,16.0,-437.8099999999977
113,2022-03-03 10:00:00,^BTCUSD,42553.91,42704.5,42369.95,42476.39,1130,BTK22,42860.0,42940.0,42855.0,42940.0,3.0,-463.6100000000006
114,2022-03-03 11:00:00,^BTCUSD,42475.77,42546.39,42083.21,42429.87,1130,BTK22,42720.0,42730.0,42600.0,42730.0,8.0,-300.1299999999974
115,2022-03-03 12:00:00,^BTCUSD,42429.87,42509.52,42206.86,42252.09,1133,BTK22,42820.0,42850.0,42800.0,42800.0,3.0,-547.9100000000035
116,2022-03-03 14:00:00,^BTCUSD,42208.88,42249.06,41878.97,42003.55,1243,BTK22,42360.0,42360.0,42315.0,42315.0,2.0,-311.4499999999971
117,2022-03-03 19:00:00,^BTCUSD,41572.93,41657.27,41176.28,41531.61,1227,BTK22,41380.0,41580.0,41380.0,41580.0,2.0,-48.38999999999942
118,2022-03-03 21:00:00,^BTCUSD,41409.64,41482.5,41248.99,41461.47,1316,BTK22,41655.0,41655.0,41655.0,41655.0,1.0,-193.52999999999884
119,2022-03-04 01:00:00,^BTCUSD,41404.68,41472.24,41293.42,41446.44,1309,BTK22,41635.0,41635.0,41635.0,41635.0,1.0,-188.55999999999767
120,2022-03-04 02:00:00,^BTCUSD,41446.29,41728.07,40919.66,41592.89,1170,BTK22,41250.0,41720.0,41250.0,41720.0,2.0,-127.11000000000058
121,2022-03-04 04:00:00,^BTCUSD,41533.37,41761.38,41488.82,41675.04,1144,BTK22,41930.0,41960.0,41930.0,41960.0,3.0,-284.9599999999991
122,2022-03-04 08:00:00,^BTCUSD,41292.57,41469.75,40703.65,41126.71,1131,BTK22,41430.0,41430.0,41270.0,41270.0,2.0,-143.29000000000087
123,2022-03-04 09:00:00,^BTCUSD,41139.99,41160.62,40595.29,40690.5,1109,BTK22,41050.0,41050.0,41050.0,41050.0,1.0,-359.5
