,Date,Symbol_spot,Open_spot,High_spot,Low_spot,Close_spot,Volume_spot,Symbol_fut,Open_fut,High_fut,Low_fut,Close_fut,Volume_fut,Diff
0,2020-06-02 08:00:00,^BTCUSD,10121.26,10182.57,10119.82,10159.18,3006,BTV20,10540.0,10540.0,10540.0,10540.0,7.0,-380.8199999999997
1,2020-06-02 09:00:00,^BTCUSD,10159.18,10177.52,9390.98,9593.07,2902,BTV20,9795.0,9795.0,9605.0,9605.0,3.0,-11.930000000000291
2,2020-06-03 08:00:00,^BTCUSD,9601.67,9613.62,9581.75,9587.33,2883,BTV20,9800.0,9800.0,9800.0,9800.0,2.0,-212.67000000000007
3,2020-06-04 04:00:00,^BTCUSD,9640.05,9640.05,9521.01,9559.05,2258,BTV20,9740.0,9755.0,9740.0,9755.0,8.0,-195.95000000000073
4,2020-06-04 05:00:00,^BTCUSD,9559.05,9559.71,9514.68,9545.51,2321,BTV20,9770.0,9770.0,9740.0,9740.0,6.0,-194.48999999999978
5,2020-06-04 06:00:00,^BTCUSD,9546.0,9638.13,9471.61,9623.97,2659,BTV20,9810.0,9810.0,9810.0,9810.0,2.0,-186.03000000000065
6,2020-06-04 07:00:00,^BTCUSD,9623.97,9669.16,9608.8,9642.49,2747,BTV20,9895.0,9895.0,9895.0,9895.0,1.0,-252.51000000000022
7,2020-06-09 10:00:00,^BTCUSD,9718.65,9731.65,9715.93,9727.48,2695,BTV20,10010.0,10010.0,10010.0,10010.0,5.0,-282.52000000000044
8,2020-06-12 00:00:00,^BTCUSD,9351.28,9383.3,9337.45,9374.83,2372,BTV20,9565.0,9565.0,9565.0,9565.0,2.0,-190.17000000000007
9,2020-06-24 11:00:00,^BTCUSD,9243.03,9305.66,9234.86,9298.04,3363,BTV20,9470.0,9470.0,9470.0,9470.0,2.0,-171.95999999999913
10,2020-06-24 13:00:00,^BTCUSD,9296.83,9324.81,9290.06,9308.36,2890,BTV20,9460.0,9505.0,9460.0,9505.0,16.0,-196.63999999999942
11,2020-06-24 14:00:00,^BTCUSD,9308.37,9333.36,9282.95,9294.57,2883,BTV20,9510.0,9510.0,9510.0,9510.0,1.0,-215.4300000000003
12,2020-06-25 04:00:00,^BTCUSD,9295.91,9308.54,9249.71,9249.82,2247,BTV20,9435.0,9435.0,9435.0,9435.0,2.0,-185.1800000000003
13,2020-06-26 11:00:00,^BTCUSD,9143.71,9148.32,9090.28,9147.28,2977,BTV20,9290.0,9310.0,9290.0,9310.0,4.0,-162.71999999999935
14,2020-06-29 04:00:00,^BTCUSD,9082.41,9130.15,9080.12,9129.03,1848,BTV20,9230.0,9230.0,9230.0,9230.0,4.0,-100.96999999999935
15,2020-06-30 17:00:00,^BTCUSD,9164.12,9164.94,9127.6,9131.03,2385,BTV20,9285.0,9285.0,9285.0,9285.0,2.0,-153.96999999999935
