,Date,Symbol_spot,Open_spot,High_spot,Low_spot,Close_spot,Volume_spot,Symbol_fut,Open_fut,High_fut,Low_fut,Close_fut,Volume_fut,Diff
0,2020-12-01 09:00:00,^BTCUSD,19294.98,19494.88,19204.66,19291.06,2489,BTK21,20310.0,20310.0,20310.0,20310.0,1.0,-1018.9399999999987
1,2020-12-17 21:00:00,^BTCUSD,23020.43,23048.08,22790.7,22824.47,3241,BTK21,24380.0,24380.0,24380.0,24380.0,1.0,-1555.5299999999988
2,2020-12-28 10:00:00,^BTCUSD,26876.56,27126.29,26734.86,27034.37,2025,BTK21,28505.0,28505.0,28505.0,28505.0,3.0,-1470.630000000001
3,2020-12-31 12:00:00,^BTCUSD,28583.08,28904.79,28521.2,28891.89,2818,BTK21,30240.0,30240.0,30240.0,30240.0,3.0,-1348.1100000000006
4,2021-01-04 04:00:00,^BTCUSD,31020.36,31150.19,28383.16,30276.51,1741,BTK21,32500.0,32500.0,32500.0,32500.0,1.0,-2223.4900000000016
5,2021-01-05 08:00:00,^BTCUSD,31589.74,32347.37,31205.55,32347.37,1906,BTK21,33405.0,33415.0,33405.0,33415.0,4.0,-1067.630000000001
6,2021-01-05 10:00:00,^BTCUSD,32130.8,32717.46,31877.97,32510.9,1703,BTK21,34560.0,34560.0,34560.0,34560.0,1.0,-2049.0999999999985
7,2021-01-05 11:00:00,^BTCUSD,32510.91,32818.62,32311.6,32800.62,1822,BTK21,34450.0,34450.0,34450.0,34450.0,1.0,-1649.3799999999974
8,2021-01-06 03:00:00,^BTCUSD,34629.13,34629.13,33774.67,33954.75,1839,BTK21,36700.0,36700.0,36700.0,36700.0,1.0,-2745.25
9,2021-01-08 09:00:00,^BTCUSD,41480.35,41933.25,40077.71,40868.0,1658,BTK21,42950.0,42950.0,42950.0,42950.0,2.0,-2082.0
10,2021-01-11 00:00:00,^BTCUSD,34879.82,34882.72,32615.27,32907.61,1719,BTK21,36440.0,36440.0,36440.0,36440.0,1.0,-3532.3899999999994
11,2021-01-11 08:00:00,^BTCUSD,32784.86,33734.19,30883.74,33215.94,1595,BTK21,34830.0,35500.0,34830.0,35500.0,3.0,-2284.0599999999977
12,2021-01-11 09:00:00,^BTCUSD,33222.46,33573.54,31477.88,31624.25,1407,BTK21,35025.0,35025.0,34300.0,34300.0,3.0,-2675.75
13,2021-01-11 13:00:00,^BTCUSD,32646.55,32706.01,31244.46,32271.75,1762,BTK21,33720.0,33720.0,33720.0,33720.0,1.0,-1448.25
14,2021-01-12 09:00:00,^BTCUSD,33408.57,34250.92,33408.57,33819.71,1870,BTK21,36050.0,36050.0,36050.0,36050.0,1.0,-2230.290000000001
15,2021-01-12 14:00:00,^BTCUSD,34677.73,34677.73,33780.56,34294.3,2049,BTK21,36320.0,36320.0,35920.0,36205.0,5.0,-1910.699999999997
16,2021-01-12 15:00:00,^BTCUSD,34293.02,34854.16,33851.4,34708.54,2092,BTK21,36455.0,36455.0,36455.0,36455.0,2.0,-1746.4599999999991
17,2021-01-13 07:00:00,^BTCUSD,34253.81,34740.45,34100.7,34577.36,2096,BTK21,36175.0,36175.0,36175.0,36175.0,2.0,-1597.6399999999994
18,2021-01-13 08:00:00,^BTCUSD,34577.36,35049.66,34237.66,34237.66,2086,BTK21,36725.0,36765.0,36550.0,36550.0,6.0,-2312.3399999999965
19,2021-01-13 09:00:00,^BTCUSD,34239.47,34834.22,34238.7,34632.56,2022,BTK21,36285.0,36680.0,36285.0,36680.0,7.0,-2047.4400000000023
20,2021-01-13 11:00:00,^BTCUSD,34750.35,34965.37,34643.35,34788.51,1954,BTK21,36715.0,36885.0,36715.0,36885.0,4.0,-2096.489999999998
21,2021-01-13 12:00:00,^BTCUSD,34788.8,35901.79,34735.95,35721.77,1960,BTK21,36860.0,36860.0,36860.0,36860.0,2.0,-1138.2300000000032
22,2021-01-13 14:00:00,^BTCUSD,35999.94,36456.81,35745.06,36222.04,1946,BTK21,38005.0,38350.0,38005.0,38105.0,10.0,-1882.9599999999991
23,2021-01-14 02:00:00,^BTCUSD,38225.2,38747.33,38225.2,38404.64,2035,BTK21,40355.0,40355.0,40265.0,40265.0,10.0,-1860.3600000000006
24,2021-01-14 09:00:00,^BTCUSD,39614.59,40073.41,39428.57,39517.94,1727,BTK21,41730.0,41755.0,41690.0,41690.0,5.0,-2172.0599999999977
25,2021-01-14 10:00:00,^BTCUSD,39524.16,39969.83,39256.46,39274.21,1732,BTK21,41930.0,41955.0,41625.0,41845.0,9.0,-2570.790000000001
26,2021-01-14 11:00:00,^BTCUSD,39273.11,39823.15,39273.11,39403.81,1855,BTK21,41515.0,41525.0,41515.0,41525.0,4.0,-2121.1900000000023
27,2021-01-14 13:00:00,^BTCUSD,39325.55,39870.27,39313.21,39851.91,2027,BTK21,41580.0,41870.0,41490.0,41870.0,9.0,-2018.0899999999965
28,2021-01-14 14:00:00,^BTCUSD,39852.59,39898.07,39321.11,39321.11,1972,BTK21,41640.0,41640.0,41640.0,41640.0,2.0,-2318.8899999999994
29,2021-01-14 15:00:00,^BTCUSD,39321.14,39427.45,38256.15,38785.11,1909,BTK21,41310.0,41310.0,41310.0,41310.0,2.0,-2524.8899999999994
30,2021-01-14 17:00:00,^BTCUSD,38932.34,39260.76,38759.67,39177.18,2123,BTK21,40940.0,41250.0,40940.0,41250.0,7.0,-2072.8199999999997
31,2021-01-14 18:00:00,^BTCUSD,39177.58,39690.96,39050.67,39411.9,1946,BTK21,41525.0,41645.0,41435.0,41645.0,7.0,-2233.0999999999985
32,2021-01-14 22:00:00,^BTCUSD,38690.22,38781.39,38342.24,38462.55,2239,BTK21,40485.0,40485.0,40485.0,40485.0,2.0,-2022.449999999997
33,2021-01-15 08:00:00,^BTCUSD,37657.46,37736.63,36645.99,36897.55,1947,BTK21,39125.0,39125.0,39125.0,39125.0,2.0,-2227.449999999997
34,2021-01-15 10:00:00,^BTCUSD,35581.12,36324.79,34547.28,36153.74,1763,BTK21,37145.0,38225.0,37145.0,37955.0,11.0,-1801.260000000002
35,2021-01-15 11:00:00,^BTCUSD,36151.54,36151.54,35423.09,35981.5,1900,BTK21,37700.0,37845.0,37315.0,37335.0,5.0,-1353.5
36,2021-01-15 12:00:00,^BTCUSD,35981.25,36367.21,34870.24,35413.6,1958,BTK21,37900.0,38210.0,37090.0,37090.0,5.0,-1676.4000000000015
